"filename", "language", "JSON", "JSON with Comments", "JavaScript", "SCSS", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-customer-consent-tab\mis-report-customer-consent-tab.component.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 93, 11, 233
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-customer-consent-tab\mis-report-customer-consent-tab.component.scss", "SCSS", 0, 0, 0, 348, 0, 0, 0, 128, 75, 551
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-customer-consent-tab\mis-report-customer-consent-tab.component.ts", "TypeScript", 0, 0, 0, 0, 210, 0, 0, 0, 18, 228
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-demographics-tab\mis-report-demographics-tab.component.html", "HTML", 0, 0, 0, 0, 0, 201, 0, 115, 11, 327
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-demographics-tab\mis-report-demographics-tab.component.scss", "SCSS", 0, 0, 0, 460, 0, 0, 0, 136, 111, 707
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-demographics-tab\mis-report-demographics-tab.component.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 97, 24, 208
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-executive-tab\mis-report-executive-tab.component.html", "HTML", 0, 0, 0, 0, 0, 110, 0, 0, 5, 115
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-executive-tab\mis-report-executive-tab.component.scss", "SCSS", 0, 0, 0, 178, 0, 0, 0, 0, 34, 212
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-executive-tab\mis-report-executive-tab.component.ts", "TypeScript", 0, 0, 0, 0, 134, 0, 0, 0, 11, 145
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-expiry-tab\mis-report-expiry-tab.component.html", "HTML", 0, 0, 0, 0, 0, 67, 0, 0, 6, 73
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-expiry-tab\mis-report-expiry-tab.component.scss", "SCSS", 0, 0, 0, 54, 0, 0, 0, 0, 2, 56
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-expiry-tab\mis-report-expiry-tab.component.ts", "TypeScript", 0, 0, 0, 0, 121, 0, 0, 0, 13, 134
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-operational-tab\mis-report-operational-tab.component.html", "HTML", 0, 0, 0, 0, 0, 177, 0, 0, 3, 180
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-operational-tab\mis-report-operational-tab.component.scss", "SCSS", 0, 0, 0, 140, 0, 0, 0, 0, 2, 142
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-operational-tab\mis-report-operational-tab.component.ts", "TypeScript", 0, 0, 0, 0, 210, 0, 0, 0, 19, 229
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-revocation-tab\mis-report-revocation-tab.component.html", "HTML", 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-revocation-tab\mis-report-revocation-tab.component.scss", "SCSS", 0, 0, 0, 261, 0, 0, 0, 123, 46, 430
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-revocation-tab\mis-report-revocation-tab.component.ts", "TypeScript", 0, 0, 0, 0, 173, 0, 0, 0, 19, 192
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-scheduled-tab\mis-report-scheduled-tab.component.html", "HTML", 0, 0, 0, 0, 0, 72, 0, 0, 2, 74
