Date : 2026-05-21 17:52:44
Directory : d:\CMS\CMS-15\frontend
Total : 391 files,  321630 codes, 31226 comments, 4597 blanks, all 357453 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\features\checker\checker-broadcasts-queue                                                                                                    |          1 |        106 |          0 |          3 |        109 |
| src\app\features\checker\checker-dashboard                                                                                                           |          3 |        228 |          0 |         27 |        255 |
| src\app\features\checker\checker-layout                                                                                                              |          2 |         87 |          1 |         11 |         99 |
| src\app\features\checker\checker-rule-review                                                                                                         |          3 |        208 |          0 |         17 |        225 |
| src\app\features\checker\checker-rules-queue                                                                                                         |          1 |        106 |          0 |          3 |        109 |
| src\app\features\checker\checker-sidebar                                                                                                             |          2 |        209 |        148 |         51 |        408 |
| src\app\features\checker\checker-topbar                                                                                                              |          2 |        132 |          0 |         14 |        146 |
| src\app\features\checker\consent-review                                                                                                              |          3 |        512 |          9 |         62 |        583 |
| src\app\features\checker\pending-approvals                                                                                                           |          3 |        286 |          1 |         37 |        324 |
| src\app\features\checker\review-history                                                                                                              |          3 |        441 |        110 |         65 |        616 |
| src\app\features\maker                                                                                                                               |         42 |      5,023 |        530 |        694 |      6,247 |
| src\app\features\maker\audit-trail                                                                                                                   |          3 |        129 |          0 |         16 |        145 |
| src\app\features\maker\create-consent                                                                                                                |         15 |      2,003 |        324 |        313 |      2,640 |
| src\app\features\maker\create-consent (Files)                                                                                                        |          3 |        579 |          2 |         60 |        641 |
| src\app\features\maker\create-consent\audit-activity-card                                                                                            |          3 |        195 |          0 |         25 |        220 |
| src\app\features\maker\create-consent\consent-details-card                                                                                           |          3 |        284 |          0 |         34 |        318 |
| src\app\features\maker\create-consent\consent-message-card                                                                                           |          3 |        478 |        321 |        124 |        923 |
| src\app\features\maker\create-consent\delivery-channels-card                                                                                         |          3 |        467 |          1 |         70 |        538 |
| src\app\features\maker\maker-broadcast-edit                                                                                                          |          3 |        538 |         25 |         66 |        629 |
| src\app\features\maker\maker-broadcast-workbench                                                                                                     |          3 |        346 |         85 |         51 |        482 |
| src\app\features\maker\maker-dashboard                                                                                                               |          3 |        313 |          1 |         34 |        348 |
| src\app\features\maker\maker-layout                                                                                                                  |          2 |         77 |          1 |         11 |         89 |
| src\app\features\maker\maker-rule-edit                                                                                                               |          3 |        561 |          1 |         65 |        627 |
| src\app\features\maker\maker-rules-workbench                                                                                                         |          3 |        362 |         88 |         55 |        505 |
| src\app\features\maker\maker-sidebar                                                                                                                 |          2 |        212 |          5 |         29 |        246 |
| src\app\features\maker\maker-topbar                                                                                                                  |          2 |        132 |          0 |         15 |        147 |
| src\app\features\maker\my-consents                                                                                                                   |          3 |        350 |          0 |         39 |        389 |
| src\app\features\public                                                                                                                              |          6 |        726 |          2 |         94 |        822 |
| src\app\features\public\public-consent-respond                                                                                                       |          3 |        535 |          2 |         67 |        604 |
| src\app\features\public\public-consent-translation                                                                                                   |          3 |        191 |          0 |         27 |        218 |
| src\app\shared                                                                                                                                       |         23 |      1,950 |         19 |        166 |      2,135 |
| src\app\shared\components                                                                                                                            |         19 |      1,616 |         11 |        130 |      1,757 |
| src\app\shared\components\add-merge-tag-dialog                                                                                                       |          3 |        290 |         10 |         34 |        334 |
| src\app\shared\components\broadcast-preview-dialog                                                                                                   |          1 |        314 |          0 |          5 |        319 |
| src\app\shared\components\confirm-dialog                                                                                                             |          1 |        107 |          0 |          5 |        112 |
| src\app\shared\components\consent-preview-dialog                                                                                                     |          1 |        106 |          0 |          5 |        111 |
| src\app\shared\components\loading-overlay                                                                                                            |          1 |         19 |          0 |          2 |         21 |
| src\app\shared\components\recurring-schedule-editor                                                                                                  |          3 |        309 |          1 |         36 |        346 |
| src\app\shared\components\review-action-dialog                                                                                                       |          1 |        106 |          0 |          6 |        112 |
| src\app\shared\components\status-badge                                                                                                               |          1 |         50 |          0 |          5 |         55 |
| src\app\shared\components\toast-container                                                                                                            |          3 |         35 |          0 |          6 |         41 |
| src\app\shared\components\toast-item                                                                                                                 |          3 |        147 |          0 |         20 |        167 |
| src\app\shared\components\workflow-status-badge                                                                                                      |          1 |        133 |          0 |          6 |        139 |
| src\app\shared\pipes                                                                                                                                 |          2 |         58 |          0 |          4 |         62 |
| src\app\shared\utils                                                                                                                                 |          2 |        276 |          8 |         32 |        316 |
| src\environments                                                                                                                                     |          2 |         16 |          0 |          2 |         18 |
| src\styles                                                                                                                                           |          5 |        352 |          4 |         59 |        415 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_bidi.js                                                                | JavaScript         |         19 |          0 |          1 |         20 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_scrolling.js                                                           | JavaScript         |         52 |          0 |          1 |         53 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_text-field.js                                                          | JavaScript         |         21 |          0 |          1 |         22 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_common.js                                                                  | JavaScript         |        205 |          0 |          1 |        206 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_common_http.js                                                             | JavaScript         |         89 |          0 |          1 |         90 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_core.js                                                                    | JavaScript         |      1,020 |          0 |          1 |      1,021 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_forms.js                                                                   | JavaScript         |        137 |          0 |          1 |        138 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_badge.js                                                          | JavaScript         |        338 |         37 |          2 |        377 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_button-toggle.js                                                  | JavaScript         |        903 |         87 |          2 |        992 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_button.js                                                         | JavaScript         |         47 |          0 |          1 |         48 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_card.js                                                           | JavaScript         |        467 |          5 |          2 |        474 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_checkbox.js                                                       | JavaScript         |        745 |         81 |          2 |        828 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_chips.js                                                          | JavaScript         |      2,515 |        377 |          2 |      2,894 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_core.js                                                           | JavaScript         |        524 |         34 |          3 |        561 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_datepicker.js                                                     | JavaScript         |      5,881 |        361 |          9 |      6,251 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_dialog.js                                                         | JavaScript         |      1,608 |        424 |          4 |      2,036 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_divider.js                                                        | JavaScript         |        123 |          4 |          2 |        129 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_expansion.js                                                      | JavaScript         |      1,090 |        113 |          3 |      1,206 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_form-field.js                                                     | JavaScript         |         90 |         12 |          2 |        104 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_icon.js                                                           | JavaScript         |        760 |        220 |          3 |        983 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_input.js                                                          | JavaScript         |        539 |        101 |          2 |        642 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_progress-bar.js                                                   | JavaScript         |        303 |         33 |          2 |        338 |
